platform,precision,test_type,parameter_name,parameter_value,median,p95,p99,std,unit,n_trials,timestamp
M2,Q4_K_M,throughput,output_length,64,71.5257,71.6013,71.6224,0.0437,tokens/s,9,2026-04-13T20:27:49
M2,Q4_K_M,throughput,output_length,128,76.7313,77.4449,77.53,0.3372,tokens/s,10,2026-04-13T20:27:49
M2,Q4_K_M,ttft,prompt_length,64,70.7279,70.8862,70.9149,0.0851,ms,10,2026-04-13T20:27:49
M2,Q4_K_M,ttft,prompt_length,128,134.4008,134.4178,134.4221,0.0172,ms,7,2026-04-13T20:27:49
M2,Q4_K_M,ttft,prompt_length,256,262.0689,262.1406,262.1406,0.0825,ms,8,2026-04-13T20:27:49
M2,Q4_K_M,ttft,prompt_length,512,544.201,545.3957,545.5534,1.2691,ms,6,2026-04-13T20:27:49
M2,Q4_K_M,ttft,prompt_length,1024,1098.3213,1111.1541,1112.7413,6.6534,ms,8,2026-04-13T20:27:49
M2,Q8_0,e2e_latency,output_length,32,777.6856,832.9774,847.6618,50.1555,ms,10,2026-04-13T20:32:00
M2,Q8_0,e2e_latency,output_length,64,1298.926,1302.3054,1303.3109,2.3199,ms,7,2026-04-13T20:32:00
M2,Q8_0,e2e_latency,output_length,128,2494.7354,2494.9286,2494.9776,0.3868,ms,8,2026-04-13T20:32:00
M2,Q8_0,per_token_latency,context_length,64,18.6865,18.6998,18.7024,0.0065,ms,9,2026-04-13T20:32:00
M2,Q8_0,per_token_latency,context_length,128,18.6736,18.7003,18.702,0.0415,ms,10,2026-04-13T20:32:00
M2,Q8_0,per_token_latency,context_length,256,19.64,19.7015,19.7142,0.0323,ms,9,2026-04-13T20:32:00
M2,Q8_0,per_token_latency,context_length,512,20.5045,20.7356,20.7901,0.1259,ms,8,2026-04-13T20:32:00
M2,Q8_0,per_token_latency,context_length,1024,22.6451,24.1297,24.1308,0.8557,ms,9,2026-04-13T20:32:00
M2,Q8_0,throughput,output_length,32,45.6622,45.6963,45.6991,0.0219,tokens/s,10,2026-04-13T20:32:00
M2,Q8_0,throughput,output_length,64,49.3012,49.3139,49.3143,0.018,tokens/s,8,2026-04-13T20:32:00
M2,Q8_0,throughput,output_length,128,50.2138,51.3149,51.3169,1.4131,tokens/s,10,2026-04-13T20:32:00
M2,Q8_0,ttft,prompt_length,64,64.5124,64.6165,64.6392,0.0581,ms,9,2026-04-13T20:32:00
M2,Q8_0,ttft,prompt_length,128,121.024,121.0883,121.0912,0.0352,ms,9,2026-04-13T20:32:00
M2,Q8_0,ttft,prompt_length,256,234.9752,235.1403,235.1818,0.093,ms,10,2026-04-13T20:32:00
M2,Q8_0,ttft,prompt_length,512,477.2826,477.5156,477.5582,0.1219,ms,8,2026-04-13T20:32:00
M2,Q8_0,ttft,prompt_length,1024,983.5703,984.3152,984.4025,0.3585,ms,8,2026-04-13T20:32:00
M4,F16,e2e_latency,output_length,32,858.3008,861.0865,861.9157,1.6152,ms,10,2026-04-14T11:20:29
M4,F16,e2e_latency,output_length,64,1673.4225,1685.9279,1688.9837,13.361,ms,10,2026-04-14T11:20:29
M4,F16,e2e_latency,output_length,128,3250.378,3257.704,3258.6512,4.1456,ms,10,2026-04-14T11:20:29
M4,F16,per_token_latency,context_length,64,25.0516,25.1594,25.1803,0.0873,ms,8,2026-04-14T11:20:29
M4,F16,per_token_latency,context_length,128,25.313,25.3988,25.4097,0.2037,ms,10,2026-04-14T11:20:29
M4,F16,per_token_latency,context_length,256,25.8162,25.9118,25.9212,0.1459,ms,10,2026-04-14T11:20:29
M4,F16,per_token_latency,context_length,512,26.2102,26.4296,26.4726,0.1212,ms,7,2026-04-14T11:20:29
M4,F16,per_token_latency,context_length,1024,26.7204,26.9865,26.9926,0.1345,ms,9,2026-04-14T11:20:29
M4,F16,throughput,output_length,32,36.9748,37.0956,37.1279,0.0966,tokens/s,10,2026-04-14T11:20:29
M4,F16,throughput,output_length,64,38.7005,38.7335,38.734,0.051,tokens/s,9,2026-04-14T11:20:29
M4,F16,throughput,output_length,128,39.3135,39.4037,39.4133,0.2527,tokens/s,10,2026-04-14T11:20:29
M4,F16,ttft,prompt_length,64,47.3392,47.4518,47.4543,0.1026,ms,10,2026-04-14T11:20:29
M4,F16,ttft,prompt_length,128,83.858,83.9749,84.0122,0.0815,ms,9,2026-04-14T11:20:29
M4,F16,ttft,prompt_length,256,158.8002,159.0211,159.0345,0.1459,ms,10,2026-04-14T11:20:29
M4,F16,ttft,prompt_length,512,323.3759,324.1711,324.1716,0.5596,ms,10,2026-04-14T11:20:29
M4,F16,ttft,prompt_length,1024,672.7351,684.8784,686.3,6.1737,ms,10,2026-04-14T11:20:29
M4,Q4_K_M,e2e_latency,output_length,32,387.1167,387.9765,388.1504,0.5017,ms,8,2026-04-14T11:15:11
M4,Q4_K_M,e2e_latency,output_length,64,698.4568,699.9676,700.3675,1.101,ms,10,2026-04-14T11:15:11
M4,Q4_K_M,e2e_latency,output_length,128,1315.039,1315.9971,1316.3069,1.0807,ms,9,2026-04-14T11:15:11
M4,Q4_K_M,per_token_latency,context_length,64,9.6763,9.7007,9.7087,0.0182,ms,10,2026-04-14T11:15:11
M4,Q4_K_M,per_token_latency,context_length,128,9.7775,9.781,9.7817,0.0056,ms,7,2026-04-14T11:15:11
M4,Q4_K_M,per_token_latency,context_length,256,10.264,10.352,10.3629,0.0778,ms,10,2026-04-14T11:15:11
M4,Q4_K_M,per_token_latency,context_length,512,10.6678,10.7093,10.7194,0.0303,ms,10,2026-04-14T11:15:11
M4,Q4_K_M,per_token_latency,context_length,1024,11.3183,11.3668,11.3747,0.027,ms,9,2026-04-14T11:15:11
M4,Q4_K_M,throughput,output_length,32,82.6724,82.7401,82.7457,0.0718,tokens/s,9,2026-04-14T11:15:11
M4,Q4_K_M,throughput,output_length,64,91.8121,92.29,92.3408,0.2953,tokens/s,10,2026-04-14T11:15:11
M4,Q4_K_M,throughput,output_length,128,97.2416,97.3271,97.341,0.0889,tokens/s,9,2026-04-14T11:15:11
M4,Q4_K_M,ttft,prompt_length,64,47.3765,47.4998,47.5266,0.0731,ms,10,2026-04-14T11:15:11
M4,Q4_K_M,ttft,prompt_length,128,87.0181,87.0832,87.0842,0.0407,ms,10,2026-04-14T11:15:11
M4,Q4_K_M,ttft,prompt_length,256,168.3717,168.4461,168.4613,0.0511,ms,9,2026-04-14T11:15:11
M4,Q4_K_M,ttft,prompt_length,512,345.4556,345.7493,345.7869,0.3996,ms,10,2026-04-14T11:15:11
M4,Q4_K_M,ttft,prompt_length,1024,714.8476,716.1245,716.3376,0.723,ms,10,2026-04-14T11:15:11
M4,Q8_0,e2e_latency,output_length,32,544.0628,545.5983,545.9018,1.0947,ms,10,2026-04-14T11:17:27
M4,Q8_0,e2e_latency,output_length,64,1007.7429,1032.6146,1036.1374,10.8586,ms,10,2026-04-14T11:17:27
M4,Q8_0,e2e_latency,output_length,128,1936.4884,1941.9846,1942.1626,2.6313,ms,9,2026-04-14T11:17:27
M4,Q8_0,per_token_latency,context_length,64,14.7136,14.7512,14.7543,0.0962,ms,10,2026-04-14T11:17:27
M4,Q8_0,per_token_latency,context_length,128,14.6056,14.6896,14.6994,0.0558,ms,9,2026-04-14T11:17:27
M4,Q8_0,per_token_latency,context_length,256,15.1681,15.2386,15.2456,0.0944,ms,10,2026-04-14T11:17:27
M4,Q8_0,per_token_latency,context_length,512,15.6128,15.7049,15.7095,0.0695,ms,10,2026-04-14T11:17:27
M4,Q8_0,per_token_latency,context_length,1024,16.3806,16.5495,16.5611,0.0779,ms,9,2026-04-14T11:17:27
M4,Q8_0,throughput,output_length,32,59.4672,59.5285,59.548,0.0536,tokens/s,10,2026-04-14T11:17:27
M4,Q8_0,throughput,output_length,64,63.6058,63.666,63.6772,0.0428,tokens/s,8,2026-04-14T11:17:27
M4,Q8_0,throughput,output_length,128,66.0289,66.0791,66.0892,0.0338,tokens/s,8,2026-04-14T11:17:27
M4,Q8_0,ttft,prompt_length,64,46.1823,46.3193,46.338,0.1031,ms,10,2026-04-14T11:17:27
M4,Q8_0,ttft,prompt_length,128,83.8721,84.1109,84.122,0.1275,ms,10,2026-04-14T11:17:27
M4,Q8_0,ttft,prompt_length,256,161.5378,161.6175,161.6183,0.0959,ms,10,2026-04-14T11:17:27
M4,Q8_0,ttft,prompt_length,512,331.7188,331.8894,331.943,0.1137,ms,8,2026-04-14T11:17:27
M4,Q8_0,ttft,prompt_length,1024,687.1428,696.2522,697.2552,4.512,ms,10,2026-04-14T11:17:27
